Title,Link
 vr racket uses compressed air to simulate hitting a ball,https://www.newscientist.com/video/2319224-vr-racket-uses-compressed-air-to-simulate-hitting-a-ball/
 virtual tennis racket uses air jet to recreate feel of hitting a ball,https://www.newscientist.com/article/2319199-virtual-tennis-racket-uses-air-jet-to-recreate-feel-of-hitting-a-ball/
 chemical computer could be precursor for brain computer interfaces,https://www.newscientist.com/video/2319319-chemical-computer-could-be-precursor-for-brain-computer-interfaces/
 roe v wade are period tracking apps still safe to use in the us,https://www.newscientist.com/article/2319262-roe-v-wade-are-period-tracking-apps-still-safe-to-use-in-the-us/
 chemical computer can be programmed to solve hard problems,https://www.newscientist.com/article/2319242-chemical-computer-can-be-programmed-to-solve-hard-problems/
 will bitcoin succeed in the central african republic probably not,https://www.newscientist.com/article/2319136-will-bitcoin-succeed-in-the-central-african-republic-probably-not/
 virtual answering machine records the real world while you are in vr,https://www.newscientist.com/article/2318990-virtual-answering-machine-records-the-real-world-while-you-are-in-vr/
 drone swarm avoids crashing in dense forest using new algorithm,https://www.newscientist.com/video/2318703-drone-swarm-avoids-crashing-in-dense-forest-using-new-algorithm/
 watch a swarm of drones navigate a forest without crashing,https://www.newscientist.com/article/2318637-watch-a-swarm-of-drones-navigate-a-forest-without-crashing/
 ais could be hacked with undetectable backdoors to make bad decisions,https://www.newscientist.com/article/2317149-ais-could-be-hacked-with-undetectable-backdoors-to-make-bad-decisions/
 vr with muscle stimulating tech that can force you to move your head,https://www.newscientist.com/video/2318460-vr-with-muscle-stimulating-tech-that-can-force-you-to-move-your-head/
 vr could use a muscle stimulating device that forces your head to turn,https://www.newscientist.com/article/2318401-vr-could-use-a-muscle-stimulating-device-that-forces-your-head-to-turn/
 chernobyl scientists want robots and drones to monitor radiation risk,https://www.newscientist.com/article/2318015-chernobyl-scientists-want-robots-and-drones-to-monitor-radiation-risk/
 the us has a new plan to help tackle criminals using drones,https://www.newscientist.com/article/2318239-the-us-has-a-new-plan-to-help-tackle-criminals-using-drones/
 british library robots look after old newspapers with new tech,https://www.newscientist.com/video/2318003-british-library-robots-look-after-old-newspapers-with-new-tech/
 meta is using ai to create low carbon concrete for its data centres,https://www.newscientist.com/article/2317122-meta-is-using-ai-to-create-low-carbon-concrete-for-its-data-centres/
 efficient battery could charge electric cars 60 per cent in 6 minutes,https://www.newscientist.com/article/2317864-efficient-battery-could-charge-electric-cars-60-per-cent-in-6-minutes/
 robot that jumps 100 times own height could be future moon explorer,https://www.newscientist.com/video/2317786-robot-that-jumps-100-times-own-height-could-be-future-moon-explorer/
 watch a jumping robot that could one day leap across the moon,https://www.newscientist.com/article/2317072-watch-a-jumping-robot-that-could-one-day-leap-across-the-moon/
 paper thin speaker can play queen from any surface,https://www.newscientist.com/video/2317655-paper-thin-speaker-can-play-queen-from-any-surface/
 ordinary copper telephone wire could carry gigabit broadband speeds,https://www.newscientist.com/article/2317040-ordinary-copper-telephone-wire-could-carry-gigabit-broadband-speeds/
 elon musk buying twitter has set him up for a scuffle with the eu,https://www.newscientist.com/article/2317454-elon-musk-buying-twitter-has-set-him-up-for-a-scuffle-with-the-eu/
 plan for microbes to eat chernobyls nuclear waste may be ruined,https://www.newscientist.com/article/2317009-plan-for-microbes-to-eat-chernobyls-nuclear-waste-may-be-ruined/
 tiny axles and rotors made of protein could drive molecular machines,https://www.newscientist.com/article/2317039-tiny-axles-and-rotors-made-of-protein-could-drive-molecular-machines/
 breaking the news exhibition shows edward snowdens smashed drives,https://www.newscientist.com/video/2317062-breaking-the-news-exhibition-shows-edward-snowdens-smashed-drives/
 robotic limbs controlled by electrostatic brakes are more efficient,https://www.newscientist.com/video/2317048-robotic-limbs-controlled-by-electrostatic-brakes-are-more-efficient/
 electrostatic brakes make bendy robot arms a lot more efficient,https://www.newscientist.com/article/2316532-electrostatic-brakes-make-bendy-robot-arms-a-lot-more-efficient/
 laser based 3d printer can produce complex objects in any order,https://www.newscientist.com/article/2316746-laser-based-3d-printer-can-produce-complex-objects-in-any-order/
 surveillance drone saves power by deliberately crashing into walls,https://www.newscientist.com/article/2316515-surveillance-drone-saves-power-by-deliberately-crashing-into-walls/
 uk prime ministers office smartphones targeted by pegasus spyware,https://www.newscientist.com/article/2316485-uk-prime-ministers-office-smartphones-targeted-by-pegasus-spyware/
 harmful chips hidden on circuit boards revealed by their power use,https://www.newscientist.com/article/2315672-harmful-chips-hidden-on-circuit-boards-revealed-by-their-power-use/
 driverless cars can be tricked into seeing red traffic lights as green,https://www.newscientist.com/article/2315634-driverless-cars-can-be-tricked-into-seeing-red-traffic-lights-as-green/
 ai strips out city noise to improve earthquake monitoring systems,https://www.newscientist.com/article/2315982-ai-strips-out-city-noise-to-improve-earthquake-monitoring-systems/
 stress testing sausages may give vegan products a meat like mouthfeel,https://www.newscientist.com/article/2315918-stress-testing-sausages-may-give-vegan-products-a-meat-like-mouthfeel/
 robotic fingertip has human like sense of touch,https://www.newscientist.com/video/2315719-robotic-fingertip-has-human-like-sense-of-touch/
 origami inspired robot can deliver drugs at the site they are needed,https://www.newscientist.com/article/2313780-origami-inspired-robot-can-deliver-drugs-at-the-site-they-are-needed/
 russia and ukraine are both weaponising mobile phones to track troops,https://www.newscientist.com/article/2315553-russia-and-ukraine-are-both-weaponising-mobile-phones-to-track-troops/
 chernobyl radiation spike may have just been electrical interference,https://www.newscientist.com/article/2315533-chernobyl-radiation-spike-may-have-just-been-electrical-interference/
 500 can a phone app really be your therapist,https://www.newscientist.com/article/mg25433814-500-can-a-phone-app-really-be-your-therapist/
 ai turns infrared images taken in total darkness into full colour,https://www.newscientist.com/article/2315047-ai-turns-infrared-images-taken-in-total-darkness-into-full-colour/
 robot learns to open doors by splitting the task into three easy steps,https://www.newscientist.com/article/2315030-robot-learns-to-open-doors-by-splitting-the-task-into-three-easy-steps/
 robotic nurse can dress a mannequin in a hospital gown,https://www.newscientist.com/article/2315052-robotic-nurse-can-dress-a-mannequin-in-a-hospital-gown/
 nuclear fusion breakthrough achieved with new projectile technique,https://www.newscientist.com/video/2315208-nuclear-fusion-breakthrough-achieved-with-new-projectile-technique/
 why is the uk government getting into nfts and is it a good idea,https://www.newscientist.com/article/2314737-why-is-the-uk-government-getting-into-nfts-and-is-it-a-good-idea/
 solar panels that work at night produce enough power to charge a phone,https://www.newscientist.com/article/2314957-solar-panels-that-work-at-night-produce-enough-power-to-charge-a-phone/
 when people say people online they may mostly be thinking about men,https://www.newscientist.com/article/2313911-when-people-say-people-online-they-may-mostly-be-thinking-about-men/
 holograms might speed up diagnosis of urinary tract infection,https://www.newscientist.com/article/2314598-holograms-might-speed-up-diagnosis-of-urinary-tract-infection/
 robot made of magnetic slime could grab objects inside your body,https://www.newscientist.com/article/2314395-robot-made-of-magnetic-slime-could-grab-objects-inside-your-body/
 300 see the murky world of vampire appliances captured on camera,https://www.newscientist.com/article/mg25433800-300-see-the-murky-world-of-vampire-appliances-captured-on-camera/
